,x,y,z,rf
503,96,210,19,-24
504,97,210,19,-20
505,98,210,19,-26
506,99,210,19,-23
507,100,210,19,-22
508,101,210,19,-29
509,102,210,19,-25
510,103,210,19,-23
511,104,210,19,-28
512,105,210,19,-29
513,106,210,19,-23
514,107,210,19,-27
515,108,210,19,-25
516,109,210,19,-28
517,110,210,19,-26
518,111,210,19,-27
519,112,210,19,-25
520,113,210,19,-25
521,114,210,19,-21
522,115,210,19,-25
523,116,210,19,-26
524,117,210,19,-23
525,118,210,19,-24
526,119,210,19,-26
527,120,210,19,-24
528,121,210,19,-26
529,122,210,19,-27
530,123,210,19,-27
531,124,210,19,-29
532,125,210,19,-26
533,125,211,19,-27
534,124,211,19,-31
535,123,211,19,-31
536,122,211,19,-27
537,121,211,19,-26
538,120,211,19,-25
539,119,211,19,-24
540,118,211,19,-21
541,117,211,19,-25
542,116,211,19,-26
543,115,211,19,-27
544,114,211,19,-25
545,113,211,19,-21
546,112,211,19,-26
547,111,211,19,-27
548,110,211,19,-29
549,109,211,19,-25
550,108,211,19,-24
551,107,211,19,-22
552,106,211,19,-22
553,105,211,19,-20
554,104,211,19,-27
555,103,211,19,-25
556,102,211,19,-29
557,101,211,19,-22
558,100,211,19,-24
559,99,211,19,-25
560,98,211,19,-22
561,97,211,19,-32
562,96,211,19,-23
563,95,211,19,-25
564,94,211,19,-23
565,93,211,19,-24
566,92,211,19,-31
567,91,211,19,-25
568,90,211,19,-25
569,89,211,19,-27
570,88,211,19,-25
571,87,211,19,-26
572,86,211,19,-21
573,85,211,19,-25
574,85,212,19,-25
575,86,212,19,-23
576,87,212,19,-25
577,88,212,19,-30
578,89,212,19,-25
579,90,212,19,-28
580,91,212,19,-29
581,92,212,19,-25
582,93,212,19,-25
583,94,212,19,-30
584,95,212,19,-32
585,96,212,19,-26
586,97,212,19,-28
587,98,212,19,-26
588,99,212,19,-26
589,100,212,19,-24
590,101,212,19,-27
591,102,212,19,-27
592,103,212,19,-28
593,104,212,19,-25
594,105,212,19,-25
595,106,212,19,-23
596,107,212,19,-26
597,108,212,19,-25
598,109,212,19,-27
599,110,212,19,-27
600,111,212,19,-26
601,112,212,19,-26
602,113,212,19,-24
603,114,212,19,-24
604,115,212,19,-21
605,116,212,19,-27
606,117,212,19,-24
607,118,212,19,-28
608,119,212,19,-26
609,120,212,19,-25
610,121,212,19,-25
611,122,212,19,-25
612,123,212,19,-24
613,124,212,19,-28
614,125,212,19,-27
615,125,213,19,-26
616,124,213,19,-29
617,123,213,19,-28
618,122,213,19,-25
619,121,213,19,-24
620,120,213,19,-25
621,119,213,19,-22
622,118,213,19,-25
623,117,213,19,-25
624,116,213,19,-24
625,115,213,19,-27
626,114,213,19,-28
627,113,213,19,-24
628,112,213,19,-27
629,111,213,19,-25
630,110,213,19,-21
631,109,213,19,-23
632,108,213,19,-28
633,107,213,19,-24
634,106,213,19,-24
635,105,213,19,-30
636,104,213,19,-25
637,103,213,19,-21
638,102,213,19,-24
639,101,213,19,-25
