,x,y,z
631,109,213,70.84
632,108,213,81.68
633,107,213,97.2
634,106,213,97.74
635,105,213,95.1
636,104,213,95.82
637,103,213,94.08
638,102,213,98.38
639,101,213,96.7
640,100,213,94.74
641,99,213,91.28
642,98,213,96.64
643,97,213,68.16
644,96,213,69.14
645,95,213,70.04
646,94,213,71.08
647,93,213,67.38
648,92,213,64.4
649,91,213,62.02
650,90,213,62.16
651,89,213,60.32
652,88,213,57.2
653,87,213,59.38
654,86,213,57.72
655,85,213,102.1
656,85,214,97.08
657,86,214,55.94
658,87,214,64.92
659,88,214,86.12
660,89,214,57.2
661,90,214,79.48
662,91,214,81.92
663,92,214,79.86
664,93,214,66.94
665,94,214,65.82
666,95,214,65.12
667,96,214,66.98
668,97,214,78.92
669,98,214,99.38
670,99,214,74.46
671,100,214,98.56
672,101,214,98.54
673,102,214,96.8
674,103,214,94.58
675,104,214,97.76
676,105,214,97.2
677,106,214,101.78
678,107,214,92.18
679,108,214,91.82
680,109,214,90.62
681,110,214,99.62
682,111,214,100.14
683,112,214,103.18
684,113,214,97.36
685,114,214,92.28
686,115,214,101.82
687,116,214,102.78
688,117,214,100.66
689,118,214,93.82
690,119,214,98.26
691,120,214,100.74
692,121,214,94.78
693,122,214,86.18
694,123,214,97.52
695,124,214,97.64
696,125,214,100.3
697,125,215,100.4
698,124,215,98.82
699,123,215,98.5
700,122,215,95.86
701,121,215,97.78
702,120,215,91.78
703,119,215,91.34
704,118,215,90.46
705,117,215,87.42
706,116,215,72.72
707,115,215,87.14
708,114,215,99.34
709,113,215,95.96
710,112,215,100.94
711,111,215,99.26
712,110,215,93.6
713,109,215,97.52
714,108,215,96.26
715,107,215,90.92
716,106,215,97.02
717,105,215,95.14
718,104,215,93.42
719,103,215,96.6
720,102,215,95.48
721,101,215,97.82
722,100,215,93.68
723,99,215,98.24
724,98,215,90.42
725,97,215,79.02
726,96,215,65.82
727,95,215,66.82
728,94,215,64.34
729,93,215,65.58
730,92,215,78.86
731,91,215,72.52
732,90,215,55.42
733,89,215,58.84
734,88,215,79.66
735,87,215,60.24
736,86,215,58.34
737,85,215,97.82
738,85,216,99.36
739,86,216,58.0
740,87,216,71.28
741,88,216,68.86
742,89,216,56.18
743,90,216,67.52
744,91,216,70.5
745,92,216,78.0
746,93,216,63.04
747,94,216,67.2
748,95,216,63.76
749,96,216,63.48
750,97,216,67.08
751,98,216,94.5
752,99,216,95.18
753,100,216,97.06
754,101,216,97.24
755,102,216,95.66
756,103,216,95.54
757,104,216,87.9
758,105,216,78.4
759,106,216,98.96
760,107,216,96.32
761,108,216,96.4
762,109,216,95.1
763,110,216,99.54
764,111,216,102.72
765,112,216,102.32
766,113,216,101.46
767,114,216,90.34
768,115,216,98.98
769,116,216,81.32
770,117,216,96.2
771,118,216,83.58
772,119,216,93.72
773,120,216,97.66
774,121,216,97.4
775,122,216,91.74
776,123,216,88.5
777,124,216,95.88
778,125,216,96.56
779,125,217,100.76
780,124,217,99.4
781,123,217,88.1
782,122,217,82.54
783,121,217,95.32
784,120,217,100.64
785,119,217,100.84
786,118,217,100.02
787,117,217,89.8
788,116,217,98.66
789,115,217,99.3
790,114,217,98.66
791,113,217,104.9
792,112,217,99.42
793,111,217,97.72
794,110,217,95.66
795,109,217,90.16
796,108,217,99.96
797,107,217,96.38
798,106,217,99.98
799,105,217,96.32
800,104,217,95.26
801,103,217,97.74
802,102,217,97.28
803,101,217,91.76
804,100,217,93.14
805,99,217,97.82
806,98,217,90.98
807,97,217,63.32
808,96,217,66.3
809,95,217,63.22
810,94,217,63.28
811,93,217,65.34
812,92,217,65.6
813,91,217,72.38
814,90,217,57.4
815,89,217,57.78
816,88,217,63.46
817,87,217,55.72
818,86,217,61.04
819,85,217,100.8
820,85,218,102.54
821,86,218,59.74
822,87,218,56.18
823,88,218,64.44
824,89,218,56.44
825,90,218,63.44
826,91,218,72.76
827,92,218,62.96
828,93,218,63.64
829,94,218,60.54
830,95,218,64.58
831,96,218,60.28
832,97,218,62.9
833,98,218,85.34
834,99,218,98.7
835,100,218,92.7
836,101,218,99.62
837,102,218,98.64
838,103,218,98.76
839,104,218,94.62
840,105,218,92.0
841,106,218,96.52
842,107,218,103.34
843,108,218,87.9
844,109,218,96.64
845,110,218,101.88
846,111,218,100.34
847,112,218,95.88
848,113,218,93.0
849,114,218,93.78
850,115,218,96.4
851,116,218,92.7
852,117,218,94.82
853,118,218,96.48
854,119,218,103.26
855,120,218,102.94
856,121,218,100.32
857,122,218,101.14
858,123,218,83.3
859,124,218,100.0
860,125,218,99.0
861,125,219,91.0
862,124,219,95.38
863,123,219,95.36
864,122,219,91.22
865,121,219,89.48
866,120,219,97.7
867,119,219,98.22
868,118,219,99.36
869,117,219,88.96
870,116,219,95.94
871,115,219,95.1
872,114,219,94.48
873,113,219,99.56
874,112,219,102.72
875,111,219,100.76
876,110,219,105.12
877,109,219,96.26
878,108,219,91.36
879,107,219,79.58
880,106,219,94.2
881,105,219,96.48
882,104,219,95.62
883,103,219,95.56
884,102,219,95.86
885,101,219,97.2
886,100,219,95.84
887,99,219,97.86
888,98,219,81.3
889,97,219,72.28
890,96,219,88.72
891,95,219,91.6
892,94,219,98.78
893,93,219,98.2
894,92,219,82.14
895,91,219,62.96
896,90,219,62.26
897,89,219,58.84
898,88,219,64.18
899,87,219,58.8
900,86,219,62.78
901,85,219,102.7
902,85,220,101.38
903,86,220,60.26
904,87,220,58.32
905,88,220,60.52
906,89,220,59.48
907,90,220,60.58
908,91,220,62.76
909,92,220,75.9
910,93,220,100.52
911,94,220,97.38
912,95,220,101.26
913,96,220,84.58
914,97,220,66.66
915,98,220,87.78
916,99,220,100.0
917,100,220,92.24
918,101,220,91.56
919,102,220,101.3
920,103,220,99.06
921,104,220,92.3
922,105,220,91.66
923,106,220,98.94
924,107,220,83.92
925,108,220,92.86
926,109,220,93.54
927,110,220,99.48
928,111,220,100.82
929,112,220,100.68
930,113,220,104.46
931,114,220,98.48
932,115,220,98.3
933,116,220,96.68
934,117,220,95.74
935,118,220,97.48
936,119,220,98.0
937,120,220,95.84
938,121,220,99.32
939,122,220,98.36
940,123,220,86.24
941,124,220,87.62
942,125,220,84.98
943,125,221,100.62
944,124,221,92.24
945,123,221,97.12
946,122,221,88.3
947,121,221,92.38
948,120,221,99.52
949,119,221,103.92
950,118,221,101.52
951,117,221,85.32
952,116,221,91.1
953,115,221,98.48
954,114,221,81.34
955,113,221,96.08
956,112,221,100.94
957,111,221,101.14
958,110,221,96.74
959,109,221,96.46
960,108,221,98.36
961,107,221,90.26
962,106,221,98.52
963,105,221,96.74
964,104,221,100.66
965,103,221,93.38
966,102,221,99.6
967,101,221,99.64
968,100,221,98.16
969,99,221,99.66
970,98,221,90.3
971,97,221,69.28
972,96,221,95.54
973,95,221,90.8
974,94,221,98.02
975,93,221,95.12
976,92,221,73.52
977,91,221,62.86
978,90,221,62.74
979,89,221,60.58
980,88,221,60.92
981,87,221,62.72
982,86,221,59.62
983,85,221,102.02
984,85,222,100.58
985,86,222,68.34
986,87,222,60.8
987,88,222,59.6
988,89,222,61.22
989,90,222,62.14
990,91,222,61.98
991,92,222,68.32
992,93,222,94.64
993,94,222,99.64
994,95,222,97.06
995,96,222,97.48
996,97,222,65.78
997,98,222,86.66
998,99,222,97.08
999,100,222,100.06
1000,101,222,93.38
1001,102,222,96.22
1002,103,222,96.82
1003,104,222,94.9
1004,105,222,95.52
1005,106,222,95.78
1006,107,222,93.02
1007,108,222,94.26
1008,109,222,102.4
1009,110,222,98.16
1010,111,222,100.62
1011,112,222,97.1
1012,113,222,100.98
1013,114,222,97.9
1014,115,222,99.58
1015,116,222,102.12
1016,117,222,93.3
1017,118,222,93.5
1018,119,222,103.86
1019,120,222,103.66
1020,121,222,97.46
1021,122,222,87.96
1022,123,222,99.94
1023,124,222,99.38
1024,125,222,99.36
1025,125,223,90.74
1026,124,223,97.88
1027,123,223,97.0
1028,122,223,79.56
1029,121,223,96.48
1030,120,223,90.5
1031,119,223,98.54
1032,118,223,96.82
1033,117,223,98.74
1034,116,223,96.74
1035,115,223,99.04
1036,114,223,101.14
1037,113,223,99.78
1038,112,223,100.72
1039,111,223,96.16
1040,110,223,96.16
1041,109,223,99.2
1042,108,223,91.82
1043,107,223,90.32
1044,106,223,95.7
1045,105,223,97.2
1046,104,223,98.32
1047,103,223,95.98
1048,102,223,93.86
1049,101,223,93.72
1050,100,223,96.92
1051,99,223,92.3
1052,98,223,88.58
1053,97,223,70.72
1054,96,223,72.54
1055,95,223,71.6
1056,94,223,63.14
1057,93,223,64.28
1058,92,223,62.26
1059,91,223,65.54
1060,90,223,62.6
1061,89,223,62.04
1062,88,223,60.46
1063,87,223,62.28
1064,86,223,58.14
1065,85,223,98.02
1066,85,224,94.32
1067,86,224,91.66
1068,87,224,100.92
1069,88,224,101.44
1070,89,224,101.18
1071,90,224,102.36
1072,91,224,102.68
1073,92,224,102.4
1074,93,224,101.24
1075,94,224,100.54
1076,95,224,100.74
1077,96,224,99.64
1078,97,224,101.34
1079,98,224,94.06
1080,99,224,94.58
1081,100,224,93.14
1082,101,224,97.82
1083,102,224,96.32
1084,103,224,96.94
1085,104,224,94.84
1086,105,224,93.9
1087,106,224,83.7
1088,107,224,88.04
1089,108,224,79.72
1090,109,224,91.16
1091,110,224,96.54
1092,111,224,92.82
1093,112,224,90.88
1094,113,224,96.2
1095,114,224,91.74
1096,115,224,95.86
1097,116,224,95.36
1098,117,224,99.46
1099,118,224,91.58
1100,119,224,95.06
1101,120,224,95.02
1102,121,224,90.48
1103,122,224,86.54
1104,123,224,96.64
1105,124,224,100.08
1106,125,224,96.44
1107,125,225,98.42
1108,124,225,100.14
1109,123,225,101.82
1110,122,225,100.98
1111,121,225,99.46
1112,120,225,96.14
1113,119,225,96.16
1114,118,225,87.42
1115,117,225,92.02
1116,116,225,97.64
1117,115,225,93.04
1118,114,225,97.9
1119,113,225,99.24
1120,112,225,100.38
1121,111,225,92.84
1122,110,225,97.72
1123,109,225,94.78
1124,108,225,102.48
1125,107,225,96.32
1126,106,225,100.14
1127,105,225,94.6
1128,104,225,97.3
1129,103,225,99.6
1130,102,225,99.06
1131,101,225,95.6
1132,100,225,96.1
1133,99,225,97.46
1134,98,225,92.74
1135,97,225,96.76
1136,96,225,93.76
1137,95,225,94.94
1138,94,225,94.08
1139,93,225,83.68
1140,92,225,89.76
1141,91,225,82.66
1142,90,225,93.3
1143,89,225,82.68
1144,88,225,95.32
1145,87,225,93.44
1146,86,225,93.12
1147,85,225,93.38
1148,85,226,94.84
1149,86,226,89.98
1150,87,226,86.12
1151,88,226,92.68
1152,89,226,95.42
1153,90,226,88.7
1154,91,226,90.9
1155,92,226,93.34
1156,93,226,96.18
1157,94,226,96.7
1158,95,226,99.9
1159,96,226,96.14
1160,97,226,94.48
1161,98,226,90.1
1162,99,226,91.02
1163,100,226,101.22
1164,101,226,92.82
1165,102,226,92.86
1166,103,226,94.48
1167,104,226,95.8
1168,105,226,84.22
1169,106,226,101.52
1170,107,226,82.52
1171,108,226,99.92
1172,109,226,85.56
1173,110,226,101.08
1174,111,226,100.32
1175,112,226,96.46
1176,113,226,95.92
1177,114,226,98.26
1178,115,226,99.0
1179,116,226,72.6
1180,117,226,86.3
1181,118,226,92.12
1182,119,226,89.38
1183,120,226,92.72
1184,121,226,98.0
1185,122,226,101.9
1186,123,226,102.66
1187,124,226,99.58
1188,125,226,98.3
1189,125,227,93.08
1190,124,227,96.24
1191,123,227,93.28
1192,122,227,95.92
1193,121,227,96.12
1194,120,227,93.98
1195,119,227,92.98
1196,118,227,96.26
1197,117,227,92.34
1198,116,227,96.12
1199,115,227,99.06
1200,114,227,95.06
1201,113,227,97.44
1202,112,227,99.34
1203,111,227,98.44
1204,110,227,100.2
1205,109,227,83.7
1206,108,227,98.14
1207,107,227,83.96
1208,106,227,101.72
1209,105,227,94.22
1210,104,227,92.56
1211,103,227,93.96
1212,102,227,96.78
1213,101,227,101.28
1214,100,227,101.24
1215,99,227,91.52
1216,98,227,98.6
1217,97,227,96.76
1218,96,227,94.98
1219,95,227,99.58
1220,94,227,93.82
1221,93,227,94.28
1222,92,227,97.3
1223,91,227,95.06
1224,90,227,96.4
1225,89,227,95.8
1226,88,227,95.54
1227,87,227,94.86
1228,86,227,96.18
1229,85,227,89.54
1230,85,228,98.32
1231,86,228,98.28
1232,87,228,90.36
1233,88,228,94.98
1234,89,228,99.9
1235,90,228,98.94
1236,91,228,94.8
1237,92,228,96.96
1238,93,228,92.08
1239,94,228,98.26
1240,95,228,99.82
1241,96,228,98.84
1242,97,228,98.08
1243,98,228,98.78
1244,99,228,98.94
1245,100,228,102.58
1246,101,228,101.1
1247,102,228,99.18
1248,103,228,101.38
1249,104,228,93.76
1250,105,228,89.54
1251,106,228,98.48
1252,107,228,95.16
1253,108,228,76.2
1254,109,228,87.36
1255,110,228,87.12
1256,111,228,94.06
1257,112,228,98.56
1258,113,228,96.36
1259,114,228,94.32
1260,115,228,67.56
1261,116,228,95.82
1262,117,228,83.82
1263,118,228,90.36
1264,119,228,90.86
1265,120,228,93.42
1266,121,228,92.92
1267,122,228,85.56
1268,123,228,100.7
1269,124,228,95.72
1270,125,228,98.04
1271,125,229,92.86
1272,124,229,102.86
1273,123,229,102.14
1274,122,229,80.32
1275,121,229,99.8
1276,120,229,93.6
1277,119,229,99.26
1278,118,229,93.64
1279,117,229,96.72
1280,116,229,96.08
1281,115,229,100.14
1282,114,229,86.24
1283,113,229,99.44
1284,112,229,99.78
